Team Name,Group,Sum of Matches Played,Sum of Finish Points,Sum of Placement Points,Sum of Rank,Sum of Total Points
True Rippers,C,3,21,28,1,49
GodLike Esports,A,3,20,28,3,48
Wyld Fangs,B,3,24,24,2,48
Learn From Past,B,3,26,21,4,47
Team Orangutan,A,3,29,16,5,45
K9 Esports,B,3,25,19,7,44
Team SouL,A,3,20,24,6,44
2OP Official,C,3,27,16,8,43
4Merical Esports,C,3,28,14,9,42
Genesis Esports,C,3,12,29,10,41
Gods Reign,C,3,23,13,11,36
Team Eggy,C,3,18,16,12,34
Reckoning Esports,A,3,16,17,14,33
Team XSpark (RNT),A,3,13,20,13,33
FS Esports,B,3,21,11,15,32
TWOB,B,3,21,10,16,31
Team 8Bit,A,3,12,17,17,29
Hyderabad Hydras,B,3,11,15,18,26
